Year,Revenue,COGS,Gross_Profit,Operating_Expenses,EBITDA,D_A,EBIT,Interest_Expense,EBT,Tax,Net_Income,Shares_Outstanding,Dividends,Operating_Cash_Flow,Capex,Free_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Cash_Beginning,Cash_Ending,Total_Assets,Current_Assets,Cash,Receivables,Inventory,Other_Current_Assets,Non_Current_Assets,PPE,Intangibles,Goodwill,Other_Non_Current,Total_Liabilities,Current_Liabilities,Accounts_Payable,Short_Term_Debt,Other_Current_Liabilities,Non_Current_Liabilities,Long_Term_Debt,Other_Non_Current_Liabilities,Total_Equity,Share_Capital,Retained_Earnings,Other_Equity,Receivables_Growth,Revenue_Growth,OCF_to_NI,EBITDA_Margin,EBIT_Margin,Profit_Margin,Cash_Flow_Margin,Current_Ratio,Quick_Ratio,Debt_to_Equity,ROA,ROE,Asset_Turnover,Receivables_Turnover,Earnings_Quality_Ratio,APAC_Revenue,APAC_Revenue_Pct,Share_Price,Employees,Transaction_Volume_Billion
2015,771.34,418.935,380.698,153.384,227.315,54.471,172.844,9.338,165.669,23.023,142.646,123.566,16.054,178.285,64.012,114.273,-207.339,213.921,456.127,633.69,2935.501,1655.24,1062.968,447.259,3.599,141.414,1280.261,30.987,1021.259,489.301,228.015,1654.988,1171.663,25.988,12.579,1133.096,483.325,358.146,125.179,1280.513,123.566,579.837,577.11,,,1.2498422668704345,29.470142868255245,22.408276505821036,18.49327144968496,23.113672310524542,1.4127270384060946,1.4096553360479933,1.2924413887246753,4.85934087571423,11.13975414540891,0.262762642560844,1.7245935800062155,1.2498422668704345,253.0,32.8,33.3902090319485,2300,45.2
2016,1028.358,530.761,527.799,219.238,307.363,72.175,235.188,26.218,302.84,36.091,266.749,123.566,17.299,294.351,73.16,221.191,-52.06,39.21,1053.228,1331.514,3482.062,2095.624,1332.631,592.608,4.54,165.845,1386.438,44.656,1108.127,534.892,233.655,2007.099,1336.452,34.92,15.066,1286.466,670.648,579.475,91.173,1474.963,123.566,829.286,522.111,32.49772503180481,33.32097388959472,1.1034755519233435,29.888715797416854,22.87024557595701,25.93931296299538,28.62339768835367,1.5680503302774809,1.5646532759874652,1.3607792195465243,7.660661987063988,18.085131627030645,0.29533018079517254,1.735309006965819,1.1034755519233435,304.0,29.6,44.68170721662654,3766,61.7
2017,1489.954,788.755,746.504,333.891,412.613,97.914,314.699,33.371,296.504,36.785,259.719,123.566,19.77,563.486,111.228,452.258,-357.061,356.911,1331.514,1895.861,4527.521,2746.42,1901.334,711.681,13.349,120.056,1781.101,57.46,1389.769,675.768,333.872,2892.338,1975.223,71.393,311.611,1592.219,917.115,754.792,162.323,1635.183,123.566,1069.234,442.383,20.093046330795428,44.88670287973644,2.169598681652093,27.69300260276492,21.121390324801975,17.431343517987806,37.8190199160511,1.3904354090652042,1.3836771848039437,1.7688160896976057,5.736450476982879,15.8831763784237,0.3290882582322644,2.0935700124072443,2.169598681652093,485.0,32.6,64.11856305908763,4449,91.0
2018,2016.2,1090.0,971.2,410.7,560.5,122.0,438.5,49.0,409.4,62.1,347.4,123.6,22.2,749.6,109.7,639.9,-231.7,303.4,1895.9,2702.5,5854.9,3925.5,2719.8,1042.3,10.6,152.8,1929.4,81.5,1409.5,705.9,438.3,3932.2,2339.6,63.4,117.4,2158.8,1592.6,1348.7,243.9,1922.7,123.6,1375.7,423.4,46.456066692801954,35.31961389412024,2.157743235463443,27.79982144628509,21.748834441027675,17.230433488741195,37.17885130443408,1.6778509146862712,1.6733202256796034,2.0451448483902843,5.933491605322038,18.0683413949134,0.34436113340962277,1.9343758994531326,2.157743235463443,609.0,30.2,101.58234800195359,5154,124.9
2019,2600.0,1420.0,1250.0,530.0,720.0,140.0,580.0,55.0,525.0,78.0,447.0,123.6,0.0,650.0,145.0,505.0,-320.0,250.0,2702.5,3200.0,7200.0,4800.0,3200.0,1350.0,12.0,238.0,2400.0,95.0,1650.0,780.0,655.0,5000.0,2900.0,80.0,150.0,2670.0,2100.0,1750.0,350.0,2200.0,123.6,1600.0,476.4,29.521251079343756,28.95546076778097,1.45413870246085,27.692307692307693,22.30769230769231,17.192307692307693,25.0,1.6551724137931034,1.6510344827586207,2.272727272727273,6.208333333333333,20.31818181818182,0.3611111111111111,1.9259259259259258,1.45413870246085,820.0,31.5,1.2940499645777856,5685,165.0
2020,420.0,380.0,85.0,280.0,-180.0,85.0,-265.0,45.0,-310.0,-15.0,-295.0,123.6,0.0,-85.0,25.0,-110.0,-45.0,-120.0,589.0,210.0,1450.0,650.0,210.0,180.0,5.0,255.0,800.0,45.0,520.0,250.0,235.0,1350.0,750.0,25.0,85.0,640.0,600.0,480.0,120.0,100.0,123.6,-350.0,326.4,-86.66666666666667,-83.84615384615385,0.288135593220339,-42.857142857142854,-63.095238095238095,-70.23809523809523,-20.238095238095237,0.8666666666666667,0.86,13.5,-20.344827586206897,-295.0,0.2896551724137931,2.3333333333333335,0.288135593220339,65.0,15.5,0.04797768506680427,950,25.0
